,station,date,latitude,longitude,elevation,name,prcp,snwd,tmax,tmin,tavg,tavg_attributes,city name,cou
30945,GME00111445,2020-01-08,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",16.0,,84.0,32.0,,,Berlin,DEU
30946,GME00111445,2020-01-09,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",39.0,,100.0,72.0,,,Berlin,DEU
30947,GME00111445,2020-01-10,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",21.0,,115.0,46.0,,,Berlin,DEU
30948,GME00111445,2020-01-11,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,72.0,25.0,,,Berlin,DEU
30949,GME00111445,2020-01-12,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,63.0,13.0,,,Berlin,DEU
30950,GME00111445,2020-01-13,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,82.0,21.0,,,Berlin,DEU
30951,GME00111445,2020-01-14,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,102.0,20.0,,,Berlin,DEU
30952,GME00111445,2020-01-15,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,140.0,82.0,,,Berlin,DEU
30953,GME00111445,2020-01-16,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,114.0,38.0,,,Berlin,DEU
30954,GME00111445,2020-01-17,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",1.0,,93.0,12.0,,,Berlin,DEU
30955,GME00111445,2020-01-18,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,72.0,38.0,,,Berlin,DEU
30956,GME00111445,2020-01-19,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,50.0,34.0,,,Berlin,DEU
30957,GME00111445,2020-01-20,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,49.0,1.0,,,Berlin,DEU
30958,GME00111445,2020-01-21,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,69.0,-5.0,,,Berlin,DEU
30959,GME00111445,2020-01-22,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",1.0,,61.0,26.0,,,Berlin,DEU
30960,GME00111445,2020-01-23,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,63.0,-1.0,,,Berlin,DEU
30961,GME00111445,2020-01-24,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,40.0,-25.0,,,Berlin,DEU
30962,GME00111445,2020-01-25,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,16.0,-2.0,,,Berlin,DEU
30963,GME00111445,2020-01-26,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,8.0,-18.0,,,Berlin,DEU
30964,GME00111445,2020-01-27,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",25.0,,91.0,6.0,,,Berlin,DEU
30965,GME00111445,2020-01-28,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",103.0,,89.0,26.0,,,Berlin,DEU
30966,GME00111445,2020-01-29,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",8.0,,65.0,31.0,,,Berlin,DEU
30967,GME00111445,2020-01-30,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",22.0,,86.0,23.0,,,Berlin,DEU
30968,GME00111445,2020-01-31,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,113.0,61.0,,,Berlin,DEU
30969,GME00111445,2020-02-01,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",75.0,,127.0,80.0,,,Berlin,DEU
30970,GME00111445,2020-02-02,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",43.0,,89.0,57.0,,,Berlin,DEU
30971,GME00111445,2020-02-03,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",38.0,,99.0,56.0,,,Berlin,DEU
30972,GME00111445,2020-02-04,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",20.0,,68.0,35.0,,,Berlin,DEU
30973,GME00111445,2020-02-05,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,59.0,17.0,,,Berlin,DEU
30974,GME00111445,2020-02-06,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,63.0,26.0,,,Berlin,DEU
30975,GME00111445,2020-02-07,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,65.0,50.0,,,Berlin,DEU
30976,GME00111445,2020-02-08,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,90.0,11.0,,,Berlin,DEU
30977,GME00111445,2020-02-09,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",79.0,,137.0,54.0,,,Berlin,DEU
30978,GME00111445,2020-02-10,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",69.0,,141.0,37.0,,,Berlin,DEU
30979,GME00111445,2020-02-11,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,69.0,34.0,,,Berlin,DEU
30980,GME00111445,2020-02-12,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,68.0,31.0,,,Berlin,DEU
