,cou,date,confirmed,deaths,recovered,totalscore,readingscore,mathscore,sciencescore,cca2,TRY,UPPSRY,BUPPSRY,total population,life expectency both,urban population %,population density,Medical graduates,Dentists graduates,Pharmacists graduates,Midwives graduates,Nursing graduates,Hospitals,General hospitals,Total hospital beds,Beds in publicly owned hospitals,Practising physicians,Generalist medical practitioners,medical group of specialists,Surgical group of specialists,Practising midwives,Practising nurses,"Professional nurses, practising","Associate Professional nurses, practising",Practising pharmacists,Specialist medical practitioners,age,sum,mean,variance,count
0,DEU,2020-01-22,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6
1,DEU,2020-01-22,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234
2,DEU,2020-01-22,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171
3,DEU,2020-01-22,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81
4,DEU,2020-01-22,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24
5,DEU,2020-01-23,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6
6,DEU,2020-01-23,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234
7,DEU,2020-01-23,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171
8,DEU,2020-01-23,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81
9,DEU,2020-01-23,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24
10,DEU,2020-01-24,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6
11,DEU,2020-01-24,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234
12,DEU,2020-01-24,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171
13,DEU,2020-01-24,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81
14,DEU,2020-01-24,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24
15,DEU,2020-01-25,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6
16,DEU,2020-01-25,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234
17,DEU,2020-01-25,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171
18,DEU,2020-01-25,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81
19,DEU,2020-01-25,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24
20,DEU,2020-01-26,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6
21,DEU,2020-01-26,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234
22,DEU,2020-01-26,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171
23,DEU,2020-01-26,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81
24,DEU,2020-01-26,0,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24
25,DEU,2020-01-27,1,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6
26,DEU,2020-01-27,1,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234
27,DEU,2020-01-27,1,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171
28,DEU,2020-01-27,1,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81
29,DEU,2020-01-27,1,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24
30,DEU,2020-01-28,4,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,0-14,535.4,89.23333000000001,27.34667,6
31,DEU,2020-01-28,4,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,15,56762.2,242.5735,55430.44,234
32,DEU,2020-01-28,4,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,16,7510.2,43.9193,1560.493,171
33,DEU,2020-01-28,4,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,45,912.5,11.26543,36.186040000000006,81
34,DEU,2020-01-28,4,0,0,1530,497,513,520,DE,0.2858,0.5794,0.1348,83783942,81.9,76.4,240,9928.0,2192.0,2233.0,592.0,45038.0,3084.0,1592.0,661448.0,269448.0,351195.0,21206.0,22632.0,111411.0,0.0,24000.0,1069000.0,902000.0,97339.0,24119.5,65,1615.8,67.325,603.3454,24
